               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.055344,            0.017127,                   0,              0.8461,                0.56,             0.67011,             0.25923,            0.042272,             0.01821,                   0,           0.0036807,           0.0036807,            0.047781
                  70,            0.054809,            0.017693,                   0,             0.55814,                0.66,             0.58015,             0.16384,            0.046698,            0.016278,                   0,           0.0037053,           0.0037053,            0.047005
                  71,            0.054617,            0.017388,                   0,             0.53428,                0.62,             0.53536,             0.19035,            0.041958,            0.017426,                   0,           0.0037292,           0.0037292,            0.046229
                  72,            0.052461,            0.016779,                   0,             0.63235,                0.62,             0.55446,             0.15529,            0.044965,            0.017063,                   0,           0.0037522,           0.0037522,            0.045452
                  73,            0.056299,            0.017497,                   0,             0.45978,                 0.7,             0.42827,             0.10735,            0.047449,            0.016181,                   0,           0.0037744,           0.0037744,            0.044674
                  74,             0.05315,            0.019196,                   0,             0.74987,             0.77948,             0.73548,             0.22626,            0.043769,            0.016452,                   0,           0.0037959,           0.0037959,            0.043896
                  75,             0.06181,              0.0169,                   0,             0.58999,                0.72,             0.67153,             0.23144,            0.040902,            0.019616,                   0,           0.0038165,           0.0038165,            0.043117
                  76,            0.051108,            0.020877,                   0,             0.52701,             0.77995,             0.58666,             0.20292,            0.043584,            0.016882,                   0,           0.0038364,           0.0038364,            0.042336
                  77,            0.049373,            0.017634,                   0,             0.69083,             0.75972,             0.68171,             0.26806,            0.038098,            0.016724,                   0,           0.0038554,           0.0038554,            0.041555
                  78,            0.052538,            0.016416,                   0,             0.69972,                 0.7,             0.69052,             0.26524,            0.042183,            0.016355,                   0,           0.0038737,           0.0038737,            0.040774
                  79,            0.055334,            0.016687,                   0,             0.46259,                0.76,             0.51143,             0.12791,            0.045345,            0.016192,                   0,           0.0038912,           0.0038912,            0.039991
                  80,            0.048613,            0.016496,                   0,             0.77061,                0.74,             0.79048,             0.30004,            0.041024,            0.015421,                   0,           0.0039079,           0.0039079,            0.039208
                  81,            0.053827,            0.015973,                   0,             0.76075,             0.69955,             0.73238,             0.20814,            0.043575,            0.015936,                   0,           0.0039238,           0.0039238,            0.038424
                  82,            0.047841,            0.018226,                   0,             0.93311,             0.55806,             0.74711,             0.28645,            0.040961,            0.015555,                   0,           0.0039389,           0.0039389,            0.037639
                  83,            0.050873,             0.01684,                   0,              0.7902,                0.68,             0.73358,             0.29633,             0.03892,            0.017064,                   0,           0.0039532,           0.0039532,            0.036853
                  84,            0.049459,             0.01536,                   0,             0.79784,                0.64,             0.70389,             0.25095,            0.043183,            0.016191,                   0,           0.0039667,           0.0039667,            0.036067
                  85,            0.049552,            0.017054,                   0,             0.65364,                0.68,             0.69534,             0.21326,            0.041451,            0.016346,                   0,           0.0039794,           0.0039794,            0.035279
                  86,            0.050911,            0.014426,                   0,             0.88678,                 0.8,             0.84521,             0.31405,            0.038893,            0.016562,                   0,           0.0039914,           0.0039914,            0.034491
                  87,            0.052109,            0.016741,                   0,             0.79064,                0.76,              0.7576,             0.18514,             0.04449,            0.015671,                   0,           0.0040025,           0.0040025,            0.033703
                  88,            0.051396,            0.016852,                   0,              0.6895,                 0.8,             0.76582,             0.24443,            0.043651,            0.015369,                   0,           0.0040129,           0.0040129,            0.032913
                  89,            0.044441,            0.015927,                   0,             0.85407,              0.8194,              0.8156,             0.32161,            0.037818,            0.016237,                   0,           0.0040224,           0.0040224,            0.032122
                  90,            0.047551,            0.016703,                   0,             0.61537,                 0.8,             0.68847,             0.19793,            0.042713,            0.015303,                   0,           0.0040312,           0.0040312,            0.031331
                  91,            0.045626,            0.017076,                   0,             0.79162,             0.75979,             0.79232,              0.3468,            0.038207,            0.015193,                   0,           0.0040392,           0.0040392,            0.030539
                  92,            0.048248,            0.014964,                   0,              0.8623,                0.76,              0.8408,              0.3565,            0.036447,            0.016386,                   0,           0.0040464,           0.0040464,            0.029746
                  93,            0.043029,            0.015576,                   0,             0.70586,                0.72,             0.68338,              0.2589,            0.039873,            0.015101,                   0,           0.0040528,           0.0040528,            0.028953
                  94,            0.045459,            0.014871,                   0,             0.51826,                0.84,             0.60888,             0.22479,            0.038101,            0.016001,                   0,           0.0040584,           0.0040584,            0.028158
                  95,            0.045034,            0.015603,                   0,             0.70907,             0.77992,             0.73284,             0.29678,            0.037025,             0.01521,                   0,           0.0040632,           0.0040632,            0.027363
                  96,            0.045072,            0.015376,                   0,             0.77776,             0.69994,             0.76402,             0.29103,            0.038664,            0.015976,                   0,           0.0040672,           0.0040672,            0.026567
                  97,            0.043884,            0.015545,                   0,             0.81344,                 0.7,             0.75625,             0.26836,            0.039132,            0.015262,                   0,           0.0040704,           0.0040704,             0.02577
                  98,            0.042171,            0.015978,                   0,             0.97124,                0.68,             0.83442,              0.3927,            0.036976,            0.015015,                   0,           0.0040729,           0.0040729,            0.024973
                  99,            0.047177,            0.015392,                   0,             0.79527,                 0.7,             0.79037,             0.34006,            0.040631,            0.016571,                   0,           0.0040745,           0.0040745,            0.024175
                 100,            0.042631,            0.017513,                   0,             0.67908,                0.72,             0.71194,             0.23478,            0.040794,            0.015519,                   0,           0.0040754,           0.0040754,            0.023375
                 101,            0.048615,            0.014521,                   0,              0.7646,             0.77953,             0.78301,             0.33686,            0.036784,            0.015946,                   0,           0.0040754,           0.0040754,            0.022575
                 102,            0.042446,            0.015945,                   0,             0.75466,             0.79976,              0.8037,             0.27495,            0.041611,            0.014395,                   0,           0.0040747,           0.0040747,            0.021775
                 103,            0.045657,            0.015767,                   0,             0.92682,             0.75992,             0.84411,              0.3261,            0.040735,            0.014876,                   0,           0.0040731,           0.0040731,            0.020973
                 104,            0.042527,            0.015958,                   0,             0.71409,             0.79925,             0.78555,             0.30958,             0.03897,            0.015216,                   0,           0.0040708,           0.0040708,            0.020171
                 105,            0.045986,            0.014596,                   0,             0.50525,                0.84,             0.53994,             0.16305,            0.038814,             0.01512,                   0,           0.0040677,           0.0040677,            0.019368
                 106,            0.043219,            0.015807,                   0,              0.9328,                0.84,             0.88654,             0.36365,            0.037156,            0.015424,                   0,           0.0040638,           0.0040638,            0.018564
                 107,            0.039125,            0.015615,                   0,              0.7646,                0.78,             0.77044,             0.27742,            0.037198,            0.014946,                   0,           0.0040591,           0.0040591,            0.017759
                 108,            0.042967,            0.015516,                   0,             0.71417,             0.79955,             0.69128,             0.19227,            0.041609,            0.014593,                   0,           0.0040536,           0.0040536,            0.016954
                 109,            0.046884,            0.015401,                   0,             0.53835,             0.83964,             0.53825,             0.12951,            0.043546,            0.014661,                   0,           0.0040474,           0.0040474,            0.016147
                 110,            0.049175,            0.014971,                   0,             0.62945,                0.68,             0.64633,             0.27293,            0.040828,            0.015501,                   0,           0.0040403,           0.0040403,             0.01534
                 111,            0.045712,            0.016088,                   0,             0.49372,                0.86,             0.56373,              0.2132,            0.038505,              0.0151,                   0,           0.0040324,           0.0040324,            0.014532
                 112,            0.041116,            0.014578,                   0,             0.75429,             0.85957,             0.80659,             0.32844,            0.036095,            0.015212,                   0,           0.0040238,           0.0040238,            0.013724
                 113,             0.03781,            0.013921,                   0,             0.83631,                0.82,             0.84095,             0.37188,            0.036791,            0.014855,                   0,           0.0040143,           0.0040143,            0.012914
                 114,            0.038861,            0.013977,                   0,             0.93021,             0.79968,             0.88342,             0.42192,            0.036087,            0.014498,                   0,           0.0040041,           0.0040041,            0.012104
                 115,            0.044747,            0.014153,                   0,             0.53818,                0.84,             0.60151,             0.20441,            0.043183,            0.014138,                   0,           0.0039931,           0.0039931,            0.011293
                 116,            0.047107,            0.015184,                   0,             0.92057,                 0.7,             0.82483,             0.37684,            0.037232,            0.014924,                   0,           0.0039812,           0.0039812,            0.010481
                 117,            0.039857,            0.016717,                   0,             0.65605,                0.84,             0.70156,             0.26534,            0.039361,            0.014521,                   0,           0.0039686,           0.0039686,           0.0096686
                 118,            0.044142,            0.014658,                   0,             0.64402,             0.75985,             0.72693,             0.20843,            0.045228,            0.013681,                   0,           0.0039552,           0.0039552,           0.0088552
                 119,            0.045329,            0.015846,                   0,             0.81998,             0.81989,             0.83786,             0.37598,            0.036015,            0.014042,                   0,            0.003941,            0.003941,            0.008041
                 120,            0.039402,            0.014843,                   0,              0.6322,             0.85944,              0.7164,             0.20282,            0.039803,            0.013865,                   0,            0.003926,            0.003926,            0.007226
                 121,             0.03955,            0.014231,                   0,             0.75912,                0.82,             0.83048,             0.32791,            0.035972,            0.014105,                   0,           0.0039102,           0.0039102,           0.0064102
                 122,            0.040725,            0.014078,                   0,             0.64159,                0.86,             0.76036,             0.33581,            0.036107,            0.013794,                   0,           0.0038937,           0.0038937,           0.0055937
                 123,            0.039665,            0.014318,                   0,             0.74992,                0.78,             0.79736,             0.31363,            0.037786,            0.013928,                   0,           0.0038763,           0.0038763,           0.0047763
                 124,            0.040821,             0.01359,                   0,             0.97169,                0.78,             0.89016,             0.38264,            0.034299,             0.01431,                   0,           0.0038581,           0.0038581,           0.0039581
                 125,            0.038492,            0.014534,                   0,             0.97504,                 0.8,              0.9071,             0.40362,            0.035032,            0.014142,                   0,           0.0038125,           0.0038125,           0.0038125
                 126,            0.035606,            0.014197,                   0,             0.93329,             0.83941,             0.88933,             0.39217,            0.035392,            0.013362,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.039798,            0.013276,                   0,             0.74988,              0.7795,             0.77968,             0.16091,            0.047011,            0.013177,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.044203,            0.014169,                   0,             0.92843,             0.77833,             0.89141,             0.40736,            0.034129,            0.014428,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.037157,            0.012604,                   0,             0.84312,              0.8599,             0.84556,             0.30055,             0.03963,            0.013474,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.037892,            0.013303,                   0,             0.89338,                0.84,             0.88276,              0.4066,            0.033615,            0.013834,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.036017,            0.013771,                   0,             0.95318,                0.82,             0.90937,             0.40085,            0.034777,            0.013388,                   0,            0.003565,            0.003565,            0.003565
                 132,              0.0353,            0.012092,                   0,             0.84609,                0.88,             0.90735,             0.42701,            0.033781,               0.013,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.037099,            0.012697,                   0,             0.83976,                0.84,              0.8744,             0.41627,            0.033554,            0.013203,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.036647,            0.013138,                   0,             0.78106,                0.86,              0.8487,             0.42334,            0.034671,             0.01313,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.036605,            0.012595,                   0,             0.81615,                 0.8,             0.84468,             0.35093,            0.034782,            0.013267,                   0,            0.003367,            0.003367,            0.003367
                 136,              0.0355,            0.013756,                   0,             0.83954,                0.84,             0.89414,             0.43496,            0.032796,             0.01324,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.034611,            0.012351,                   0,             0.79586,                0.86,             0.88105,             0.41227,             0.03326,            0.013537,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.034105,            0.013054,                   0,             0.92804,                0.78,             0.90025,             0.42913,             0.03412,            0.013352,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.035548,             0.01331,                   0,             0.90898,             0.79894,             0.88678,             0.40341,            0.034669,            0.012955,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.036757,            0.012822,                   0,             0.81024,                0.94,             0.91815,             0.44717,            0.034886,            0.012797,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.032516,            0.013057,                   0,             0.93742,                 0.9,             0.94902,             0.43361,            0.033826,            0.012931,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.034312,            0.012851,                   0,              0.8593,                0.98,             0.95484,             0.42764,            0.033432,            0.012794,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.033123,            0.012828,                   0,             0.88207,                 0.9,             0.94186,             0.43542,            0.033307,            0.012825,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.032606,            0.011645,                   0,             0.93307,             0.83659,              0.8761,             0.46913,            0.032553,            0.012466,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.032107,            0.012375,                   0,             0.93023,             0.79998,               0.901,             0.45106,             0.03231,            0.012678,                   0,            0.002872,            0.002872,            0.002872
