               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.043874,             0.01373,            0.015657,              0.6537,             0.78228,             0.75987,             0.32869,            0.044857,            0.013933,            0.014701,           0.0045055,           0.0045055,           0.0045055
                 113,            0.043931,            0.013514,            0.014321,              0.7553,              0.5736,             0.67147,             0.25894,            0.052058,            0.013534,            0.014995,            0.004456,            0.004456,            0.004456
                 114,            0.049563,            0.012657,            0.012854,             0.68333,             0.70984,              0.6865,              0.2584,            0.049668,            0.014065,            0.015821,           0.0044065,           0.0044065,           0.0044065
                 115,            0.041874,            0.012635,            0.016356,             0.82153,             0.70048,             0.76653,             0.38165,            0.045399,            0.013915,            0.016133,            0.004357,            0.004357,            0.004357
                 116,            0.041324,            0.012259,            0.014802,             0.79307,             0.70309,              0.7766,             0.36248,            0.044432,            0.013605,            0.015473,           0.0043075,           0.0043075,           0.0043075
                 117,            0.043792,             0.01213,            0.012736,             0.73378,             0.74775,             0.73204,              0.3282,            0.049144,            0.012959,            0.014776,            0.004258,            0.004258,            0.004258
                 118,            0.054595,            0.011737,            0.012958,             0.69532,             0.77818,             0.73801,             0.35305,            0.043093,            0.013966,            0.013902,           0.0042085,           0.0042085,           0.0042085
                 119,            0.042136,            0.012644,            0.013237,             0.79975,             0.71929,             0.78821,             0.42876,            0.045989,            0.012975,            0.012881,            0.004159,            0.004159,            0.004159
                 120,            0.041981,            0.012861,            0.010825,             0.84984,             0.75838,             0.80812,             0.39555,            0.044977,            0.013138,            0.013053,           0.0041095,           0.0041095,           0.0041095
                 121,            0.044394,             0.01167,            0.013432,             0.76771,             0.76134,              0.8101,             0.33298,            0.045879,            0.013095,            0.012413,             0.00406,             0.00406,             0.00406
                 122,            0.048226,            0.012576,            0.012273,              0.7171,             0.73158,             0.72522,             0.33851,            0.046594,            0.013205,            0.012194,           0.0040105,           0.0040105,           0.0040105
                 123,             0.04181,            0.012565,            0.013401,             0.85717,             0.76418,             0.84038,             0.42289,            0.045293,            0.012925,            0.012058,            0.003961,            0.003961,            0.003961
                 124,            0.041865,            0.011886,            0.012411,             0.75059,             0.88154,             0.85438,             0.41721,            0.044606,            0.012892,            0.011984,           0.0039115,           0.0039115,           0.0039115
                 125,             0.04458,            0.011224,            0.013107,             0.74623,             0.81332,             0.77308,              0.3969,            0.041383,            0.012829,            0.012457,            0.003862,            0.003862,            0.003862
                 126,            0.039912,            0.012298,            0.013255,             0.77242,             0.72578,             0.77345,             0.37528,            0.044188,            0.012447,            0.011938,           0.0038125,           0.0038125,           0.0038125
                 127,            0.043475,            0.011618,            0.012085,             0.84816,             0.81664,             0.87661,              0.3973,            0.043606,            0.012417,            0.012122,            0.003763,            0.003763,            0.003763
                 128,            0.041408,            0.011327,            0.010443,             0.79312,             0.80635,              0.7968,             0.38515,            0.043713,            0.012571,            0.012554,           0.0037135,           0.0037135,           0.0037135
                 129,            0.046905,            0.012478,            0.011869,             0.85774,              0.7936,             0.90735,             0.43825,            0.041521,            0.012915,            0.012602,            0.003664,            0.003664,            0.003664
                 130,            0.041701,            0.011811,            0.011016,             0.72597,             0.84044,             0.81339,             0.39708,            0.043053,             0.01263,            0.012255,           0.0036145,           0.0036145,           0.0036145
                 131,            0.038511,            0.012151,           0.0095723,             0.82018,             0.80151,             0.82063,             0.43692,            0.041024,            0.012738,            0.012396,            0.003565,            0.003565,            0.003565
                 132,            0.038475,             0.01203,            0.011677,             0.83691,             0.78869,             0.83616,             0.42303,            0.042231,            0.012557,            0.012337,           0.0035155,           0.0035155,           0.0035155
                 133,            0.041252,            0.011123,            0.010481,             0.77737,             0.85374,             0.84707,             0.41048,            0.043421,            0.012485,            0.011862,            0.003466,            0.003466,            0.003466
